WMO ID,DATA TIMESTAMP,EVAPORATION 24HOURS MM EEE,RAINFALL 24H RRRR,TEMP DRYBULB C TTTTTT,WIND SPEED FF,RELATIVE HUMIDITY PC,PRESSURE QFF MB DERIVED
96645,2019-04-13 14:00:00.0 +0:00,,,24.4,0.0,97.0,1012.6
96645,2022-12-13 18:00:00.0 +0:00,,,24.6,0.0,92.0,1009.8
96645,2022-12-20 21:00:00.0 +0:00,,,24.6,0.0,95.0,1006.2
96645,2020-04-27 18:00:00.0 +0:00,,,23.0,2.0,98.0,1011.3
96645,2022-06-29 18:00:00.0 +0:00,,,22.6,0.0,98.0,1009.6
96645,2021-03-01 09:00:00.0 +0:00,,,27.7,11.0,78.0,1009.7
96645,2018-07-19 13:00:00.0 +0:00,,,26.3,5.0,89.3,1010.2
96645,2020-04-10 07:00:00.0 +0:00,,,27.3,4.0,89.0,1009.9
96645,2016-05-23 15:00:00.0 +0:00,,,27.6,0.0,94.0,1012.2
96645,2023-02-04 14:00:00.0 +0:00,,,25.4,0.0,96.0,1009.3
96645,2018-04-23 19:00:00.0 +0:00,,,23.6,0.0,97.5,1009.2
96645,2015-06-30 04:00:00.0 +0:00,,,30.3,5.0,72.3,1014.3
96645,2021-09-03 18:00:00.0 +0:00,,,23.2,0.0,100.0,1010.6
96651,2019-08-11 19:00:00.0 +0:00,,,24.0,0.0,93.0,1010.2
96651,2018-02-11 22:00:00.0 +0:00,,,23.1,0.0,99.2,1012.0
96651,2018-04-29 11:00:00.0 +0:00,,,26.3,2.0,92.3,1008.7
96651,2019-11-14 22:00:00.0 +0:00,,,21.7,0.0,99.0,1010.2
96651,2021-10-31 18:00:00.0 +0:00,,,24.6,3.0,96.0,1010.3
96651,2017-02-05 12:00:00.0 +0:00,,,27.0,0.0,86.5,1006.5
96651,2020-07-23 19:00:00.0 +0:00,,,23.7,0.0,98.0,1009.5
96651,2015-05-02 00:00:00.0 +0:00,3.0,4.6,25.0,0.0,96.0,1011.4
96651,2023-05-25 17:00:00.0 +0:00,,,25.5,0.0,92.0,1012.2
96651,2018-06-19 07:00:00.0 +0:00,,,32.2,4.0,65.1,1008.3
96651,2019-06-27 19:00:00.0 +0:00,,,25.2,0.0,91.0,1011.1
96651,2016-10-07 17:00:00.0 +0:00,,,24.9,0.0,97.6,1010.9
96651,2019-05-20 05:00:00.0 +0:00,,,32.4,2.0,66.0,1010.1
96651,2021-12-04 12:00:00.0 +0:00,,,27.0,6.0,82.0,1010.8
96651,2021-03-09 03:00:00.0 +0:00,,,29.0,3.0,74.0,1013.2
96651,2015-01-08 20:00:00.0 +0:00,,,22.6,0.0,100.0,1009.8
96651,2023-11-12 22:00:00.0 +0:00,,,24.6,5.0,94.0,1012.2
96651,2016-11-24 02:00:00.0 +0:00,,,23.8,2.0,95.9,1010.3
96651,2021-07-03 21:00:00.0 +0:00,,,24.0,2.0,98.0,1009.7
96651,2023-07-04 02:00:00.0 +0:00,,,28.7,0.0,78.0,1011.8
96651,2018-07-04 04:00:00.0 +0:00,,,28.3,6.0,71.3,1010.9
96651,2023-04-13 03:00:00.0 +0:00,,,31.8,6.0,67.0,1011.4
96653,2017-05-02 14:00:00.0 +0:00,,,27.0,0.0,93.9,1013.2
96653,2019-06-08 12:00:00.0 +0:00,,,24.9,0.0,94.0,1012.4
96653,2019-05-09 00:00:00.0 +0:00,4.8,,27.0,0.0,91.0,1011.3
96653,2016-01-28 05:00:00.0 +0:00,,,34.2,6.0,54.2,1010.8
96653,2019-01-08 15:00:00.0 +0:00,,,24.6,0.0,93.6,1012.9
96653,2023-04-25 01:00:00.0 +0:00,,,24.6,6.0,94.0,1010.4
96653,2019-07-24 14:00:00.0 +0:00,,,25.6,0.0,89.0,1013.9
96653,2017-07-08 07:00:00.0 +0:00,,,33.2,3.0,62.4,1009.8
96653,2018-05-26 13:00:00.0 +0:00,,,26.1,0.0,93.8,1010.3
96653,2018-04-15 04:00:00.0 +0:00,,,32.4,5.0,63.5,1009.3
96653,2019-05-11 07:00:00.0 +0:00,,,31.8,3.0,70.0,1010.6
96653,2018-07-31 05:00:00.0 +0:00,,,29.6,3.0,77.8,1011.6
96653,2023-01-21 04:00:00.0 +0:00,,,28.4,3.0,83.0,1009.8
96653,2022-03-20 08:00:00.0 +0:00,,,30.0,4.0,67.0,1009.1
96655,2016-10-29 03:00:00.0 +0:00,,,30.7,5.0,66.5,1012.5
96655,2017-01-23 04:00:00.0 +0:00,,,30.5,2.0,70.0,1013.2
96655,2021-02-16 16:00:00.0 +0:00,,,25.2,6.0,94.0,1011.4
96655,2018-03-02 07:00:00.0 +0:00,,,32.1,7.0,65.1,1008.3
96655,2023-05-08 21:00:00.0 +0:00,,,25.2,3.0,95.0,1008.9
96655,2019-08-16 14:00:00.0 +0:00,,,25.6,5.0,91.0,1014.0
96655,2018-03-14 23:00:00.0 +0:00,,,25.1,2.0,98.4,1012.4
96655,2015-05-02 00:00:00.0 +0:00,5.0,14.7,25.5,2.0,94.5,1014.0
96655,2020-03-12 15:00:00.0 +0:00,,,26.7,2.0,95.0,1015.5
96655,2021-06-24 21:00:00.0 +0:00,,,24.7,0.0,98.0,1012.0
96655,2021-12-30 11:00:00.0 +0:00,,,28.8,2.0,86.0,1008.3
96655,2016-10-07 20:00:00.0 +0:00,,,25.7,0.0,93.7,1012.2
96655,2017-06-29 19:00:00.0 +0:00,,,24.5,3.0,90.4,1011.5
96655,2018-04-11 04:00:00.0 +0:00,,,32.9,5.0,57.9,1011.1
96655,2019-04-27 12:00:00.0 +0:00,,,24.7,10.0,98.0,1011.0
96655,2015-01-08 20:00:00.0 +0:00,,,23.4,0.0,98.3,1013.0
96655,2020-02-11 23:00:00.0 +0:00,,,26.4,2.0,96.0,1014.8
96655,2017-02-02 13:00:00.0 +0:00,,,23.8,5.0,94.3,1013.5
96655,2021-12-24 10:00:00.0 +0:00,,,29.3,2.0,77.0,1006.7
96655,2017-07-23 20:00:00.0 +0:00,,,23.6,3.0,91.8,1012.2
96655,2022-03-24 12:00:00.0 +0:00,,,29.3,3.0,84.0,1007.6
96655,2019-09-05 02:00:00.0 +0:00,,,27.9,4.0,72.0,1014.7
96655,2017-08-15 03:00:00.0 +0:00,,,30.6,9.0,57.8,1013.8
